Country Name,Year,Foreign Investment,GNI per Capita,Unemployment Rate,Labor Force participation rate,Economic Index
Netherlands,2008,0.4838139206594022,1.843049040625902e-06,0.09559376679204729,0.6340281405948797,0.156069188351027
Bahrain,2006,0.29911007473450946,6.333243498188074e-07,0.02474476088124664,0.6554128308141313,0.1560449381222028
Bahrain,2021,0.29802130648130104,8.978956864587728e-07,0.038715744223535735,0.6691948763219052,0.15589840601564722
Bahrain,2020,0.2972944614362759,8.488479555796452e-07,0.04516389038151531,0.6758967337452931,0.15587643924036093
Kyrgyz Republic,2008,0.29667664072312094,2.1480758049252936e-08,0.06829661472326705,0.6986866521339649,0.15574568229483068
Oman,2017,0.29907544189233093,5.900048210861474e-07,0.06507254164427725,0.6942187471850397,0.15573708029979613
Iceland,2013,0.2967683287520521,1.7549779326239648e-06,0.1417517463729178,0.7694885329778226,0.1552250676851525
Kuwait,2011,0.29944033600829917,1.5799097545225534e-06,0.05247178936055884,0.6779865602536616,0.1550477777343277
Oman,2019,0.29823123839313515,6.318922992821906e-07,0.05212251477700162,0.676977678491001,0.15479447252826303
Kyrgyz Republic,2009,0.29649673217328054,2.5060884390795093e-08,0.07103707684040839,0.6964707154052642,0.1547364134607414
Kyrgyz Republic,2010,0.29676848290336055,2.4702871756640875e-08,0.07487909725953788,0.6987226836254886,0.15444557791496208
Bahrain,2005,0.29732066379492444,5.867827073787593e-07,0.02474476088124664,0.6447475093231482,0.15373290945922646
Netherlands,2001,0.34617821422454814,9.544616826551387e-07,0.05424502955400323,0.6491253355432648,0.15359435985114847
Netherlands,2015,0.6571049627732708,1.7574840210630445e-06,0.18194519075765717,0.6192732448159689,0.15317698583099998
Kuwait,2006,0.2964314563921645,1.514393442472332e-06,0.032240730789897906,0.6488550993568379,0.15296677654932572
Kuwait,2005,0.29653942996576044,1.2738089523206992e-06,0.03643202579258463,0.6527825319329094,0.15292468112911714
Kuwait,2010,0.2975661738134321,1.5405283647655898e-06,0.046211714132187,0.6599527987461041,0.15250560456830903
Moldova,2017,0.2964585119003322,1.1241596712442369e-07,0.039924771628156906,0.6533049885600014,0.1523219507843857
Bahrain,2004,0.29714489930309773,5.19834344791921e-07,0.025926921010209564,0.6380096204082367,0.15213128972708762
Netherlands,2009,0.4911702093613418,1.8638137734068466e-06,0.11423965609887157,0.6284432594087229,0.15195867350499115
Kuwait,2009,0.2973829812305886,1.6200071695478256e-06,0.041375604513702306,0.6512692092889184,0.15171782908168685
Switzerland,2016,0.4562652284727753,2.978665116163074e-06,0.12944653412144008,0.6592862161529175,0.1515959485861311
Kazakhstan,2016,0.3128314625322348,2.9858253688461586e-07,0.1305749596990865,0.7314212621831481,0.15145255604130425
Kuwait,2021,0.29605398413429557,1.2881294576868677e-06,0.07796883396023642,0.6863999135244204,0.15129225839099522
Bahrain,2001,0.2963921915254324,4.5002188113184904e-07,0.027404621171413224,0.6353252742897292,0.15122357478714699
Kazakhstan,2019,0.29989274619021367,2.9858253688461586e-07,0.1262761955937668,0.7322680022339524,0.15118778523832693
Kuwait,2007,0.29642208778111523,1.695189822720211e-06,0.037614185921547555,0.645305997441764,0.15118141867706616
Kyrgyz Republic,2011,0.29697272682007264,2.541889702494931e-08,0.07788823213326168,0.6852108743041417,0.1511618138256318
Bahrain,2003,0.2968106103911245,4.661324496687888e-07,0.027619559376679204,0.6348748806456844,0.15113235835913832
Bahrain,2002,0.29652320760631434,4.4107156527799365e-07,0.02791509940891994,0.6347127389338282,0.15101206920139573
Netherlands,2000,0.35683265823989463,1.0035094135342664e-06,0.07052659860290167,0.6464770209162808,0.15087385204137205
Kazakhstan,2017,0.30087712198054006,2.7280562722551234e-07,0.12896292315959162,0.7319437188102399,0.1506840077309973
Bahrain,2000,0.2966637625179285,4.417875905463021e-07,0.026410531972058032,0.6314158574594194,0.1506676622430604
Kazakhstan,2015,0.3026227758857901,3.895177459597866e-07,0.12976894142933906,0.7313491992001008,0.15057852390160434
Kazakhstan,2018,0.296653913618315,2.7316363985966656e-07,0.12761955937667918,0.7321599077593816,0.1505735976201919
Oman,2016,0.29848812565231136,6.583852342096025e-07,0.08506179473401397,0.6870845118633685,0.15025368518371915
Kuwait,2004,0.2963379107008535,1.0353725379739916e-06,0.042987641053197204,0.646026627272236,0.1502421060001621
Kuwait,2008,0.2963094260886623,1.8487772427723693e-06,0.04433100483610962,0.6462067847298537,0.15000702297623644
Iceland,2020,0.29547275724745514,2.3507109558565797e-06,0.1444922084900591,0.7466445673518655,0.14997892285258474
Moldova,2018,0.2966120550342169,1.3210666200290556e-07,0.029446534121440084,0.6302808654764261,0.14982813782774992
Kazakhstan,2014,0.30332306816315013,4.1386260508227326e-07,0.13326168726491133,0.7300700812510134,0.14969419254483798
Iceland,2012,0.2972972305561464,1.5161835056431032e-06,0.15851692638366469,0.7582827391139856,0.14968364369343165
Switzerland,2017,0.43366773885195053,2.885939843917132e-06,0.12619559376679204,0.657034247932693,0.14953594768829723
Kuwait,2003,0.2962507784547504,8.230710459205416e-07,0.032240730789897906,0.6317221251373698,0.1495217682504924
Netherlands,2012,0.545281754644872,1.8391109016502055e-06,0.15370768404083826,0.6264435116291639,0.14907626053760317
Netherlands,2002,0.32075338665942654,9.379931014840449e-07,0.0659322944653412,0.6481164537806042,0.14851263952554603
Kazakhstan,2013,0.3059152167210084,4.056283144967263e-07,0.1370231058570661,0.7264309006071304,0.14847328343627098
Kuwait,2001,0.2962081975786716,6.94186497625024e-07,0.01880709296077378,0.6128956708162933,0.1484388824222199
